Timestamp,Voltage(V),Current(A),Power(W),Temp(C),SoC(%),Unbalanced,Vann,Overtemp
0,48.94,0.0,35,23,100,0,0,0
1,48.94,0.0,34,23,100,0,0,0
2,48.94,0.0,34,23,100,0,0,0
4,48.94,0.0,33,23,100,0,0,0
5,48.94,0.0,36,23,100,0,0,0
6,48.94,0.0,36,23,100,0,0,0
7,48.94,0.0,35,23,100,0,0,0
8,48.94,0.0,36,23,100,0,0,0
9,48.94,0.0,33,23,100,0,0,0
10,48.94,0.0,35,23,100,0,0,0
11,48.94,0.0,34,23,100,0,0,0
12,48.94,0.0,34,23,100,0,0,0
13,48.94,0.0,36,23,100,0,0,0
14,48.94,0.0,34,23,100,0,0,0
15,48.94,0.0,36,23,100,0,0,0
16,48.94,0.0,35,23,100,0,0,0
17,48.94,0.0,35,23,100,0,0,0
18,48.94,0.0,36,23,100,0,0,0
19,48.94,0.0,34,23,100,0,0,0
20,48.94,0.0,34,23,100,0,0,0
